epoch,train_runtime,train_samples_per_second,train_steps_per_second,train_loss,epoch_val
57,19.7933,31.981,2.021,0.02794961929321289,1.0,0.20755234
58,16.8371,37.595,2.376,0.026233330368995667,1.0,0.20762038
59,18.3837,34.433,2.176,0.02459767758846283,1.0,0.20771305
60,19.809,31.955,2.019,0.02304491102695465,1.0,0.20782724
61,24.1596,26.201,1.656,0.02157517969608307,1.0,0.20796053
62,21.079,30.03,1.898,0.020183485746383668,1.0,0.20811053
63,21.3702,29.621,1.872,0.0188584640622139,1.0,0.2082746
64,21.4179,29.555,1.868,0.01760161519050598,1.0,0.20845146
65,17.2456,36.705,2.319,0.016412872076034545,1.0,0.20864233
66,21.3416,29.66,1.874,0.015285544097423553,1.0,0.20884489
67,24.3963,25.947,1.64,0.014221325516700745,1.0,0.20905693
68,22.8963,27.646,1.747,0.01322084218263626,1.0,0.20927659
69,24.0963,26.27,1.66,0.012283680588006973,1.0,0.20950218
70,24.3383,26.008,1.643,0.011408576369285583,1.0,0.20973256
71,21.345,29.656,1.874,0.01059286817908287,1.0,0.20996693
72,23.1484,27.345,1.728,0.009833631664514541,1.0,0.2101978
73,27.3932,23.108,1.46,0.009119616448879242,1.0,0.21042593
74,28.4486,22.251,1.406,0.00845046266913414,1.0,0.21065274
75,16.4724,38.428,2.428,0.007826150953769683,1.0,0.210879
76,16.6533,38.011,2.402,0.007245878875255585,1.0,0.2111054
77,16.5538,38.239,2.416,0.006708157062530517,1.0,0.2113323
78,16.598,38.137,2.41,0.0062110815197229385,1.0,0.21155994
79,16.5053,38.351,2.423,0.005752465128898621,1.0,0.21178831
80,16.5994,38.134,2.41,0.005329947173595429,1.0,0.21201757
81,16.6003,38.132,2.41,0.004941130429506302,1.0,0.21224761
82,16.5283,38.298,2.42,0.004583614319562912,1.0,0.21247841
83,16.3402,38.739,2.448,0.004255072772502899,1.0,0.21270993
84,16.2802,38.881,2.457,0.003953273594379425,1.0,0.21294215
85,16.297,38.842,2.454,0.0036761201918125153,1.0,0.213175
86,16.4208,38.549,2.436,0.0034216005355119706,1.0,0.21340857
87,16.2537,38.945,2.461,0.003188086301088333,1.0,0.21365438
88,16.3511,38.713,2.446,0.0029701439663767813,1.0,0.21391167
89,16.3147,38.799,2.452,0.002766725420951843,1.0,0.21417968
90,16.4634,38.449,2.43,0.0025769323110580444,1.0,0.21445772
91,16.3624,38.686,2.445,0.0023999443277716638,1.0,0.21474501
92,15.3702,41.184,2.602,0.002235013619065285,1.0,0.21504088
93,12.126,52.202,3.299,0.002081425487995148,1.0,0.21534461
94,12.1514,52.093,3.292,0.0019385391846299172,1.0,0.21565376
95,12.2125,51.832,3.275,0.0018056217581033708,1.0,0.21596776
96,12.2291,51.762,3.271,0.0016819771379232406,1.0,0.21628621
97,12.2592,51.635,3.263,0.0015669628977775575,1.0,0.21660876
98,12.2868,51.519,3.256,0.00145999938249588,1.0,0.21693511
99,12.4957,50.657,3.201,0.0013605354353785515,1.0,0.21726492
100,14.06,45.021,2.845,0.0012680605053901673,1.0,0.21759783
101,12.5354,50.497,3.191,0.001182088814675808,1.0,0.21793358
102,18.3617,34.474,2.178,0.0011021770536899568,1.0,0.21827187
103,15.5477,40.714,2.573,0.0010279009118676185,1.0,0.21861236
104,13.9961,45.227,2.858,0.0009588617831468582,1.0,0.21895485
105,14.2249,44.499,2.812,0.0008946972899138928,1.0,0.21929905
106,16.9174,37.417,2.364,0.0008350612595677375,1.0,0.2196448
107,23.1373,27.358,1.729,0.0007796271704137326,1.0,0.21999252
108,27.1356,23.327,1.474,0.0007281546946614981,1.0,0.22034226
109,16.534,38.285,2.419,0.0006803651340305805,1.0,0.22069362
110,18.1946,34.791,2.198,0.0006359817460179328,1.0,0.22104639
111,23.9759,26.402,1.668,0.0005947193130850792,1.0,0.22140008
112,33.2397,19.043,1.203,0.0005563529673963785,1.0,0.2217546
113,29.8319,21.219,1.341,0.0005206595174968243,1.0,0.22210966
114,27.9964,22.61,1.429,0.0004874332807958126,1.0,0.22246496
115,25.6271,24.7,1.561,0.00045649786479771135,1.0,0.22282027
116,24.912,25.409,1.606,0.0004276726394891739,1.0,0.22317548
117,16.6024,38.127,2.409,0.000400809571146965,1.0,0.22353037
118,16.5496,38.249,2.417,0.0003757606260478497,1.0,0.22388469
119,24.4103,25.932,1.639,0.0003523943945765495,1.0,0.2242383
